"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"APOC2",506.299203350394,653.274925589678,640.498965840983,942.816705718176,116.597812890182,145.490121055547,359.66310935753,636.076771676328,1675.44836181227,150.513794274362,412.527506466555,231.761178993223,41.4668473166846,18.7861802243419,12.2491957817528,17.1508138089142,476.266344238484,17.3004696674954
"APOC3",3301.60699138221,2610.24626253734,2732.27941581149,3799.60286066313,525.943871113554,974.37162516569,1613.38985233132,1616.66852867968,4332.72025871749,1135.44517575733,1189.48769878178,1263.9333118621,585.98137335888,275.597509975129,201.239654052149,216.644389775101,1079.22106609901,350.818011013329
"APOD",675.991075094394,786.593059521432,880.080512589131,1818.30024905543,459.719323992861,576.02652559349,1816.21443509947,662.382287480983,1969.73757296358,528.810419008758,940.122905323448,299.846715390945,328.996768372335,244.539687246715,205.983095422794,187.767346823195,237.052636327447,235.22895964672
"APOE",1295.26278241531,1429.1732901377,1884.89244212304,2501.23275802676,749.30108782385,875.280909942758,1688.86825102849,1382.1702022553,2634.52356492338,732.258173394788,522.563172948056,483.697446142158,157.91941062786,94.5580709292563,77.3666096559732,80.3447156515623,374.037307337116,131.49397371786
"APOF",98.3238159943625,33.1360205727723,151.316233869456,20.5115897868698,39.6606973043007,41.6233185474201,73.1244578139378,130.118354915757,214.43116176789,54.0427883608381,61.059690445965,47.6026585036134,21.1238574655414,10.474333069636,4.28533158377401,16.8460570249323,29.3900949143215,23.1229487368108
"APOH",679.638278267187,723.604957219946,550.698144309476,879.312014154178,575.593370337715,691.647505344934,294.327821745064,525.531402432036,1262.2081923505,464.647375922191,387.543303703131,151.728983389669,173.882493085682,90.0659350538805,88.8715081403143,126.157202996954,54.3419366516095,135.478921784948
"APOL1",89.8510428722373,69.593669336515,183.019023446302,222.927702382217,107.463181163194,132.033753784799,149.261210702862,199.634410089672,486.888340825911,102.108159727335,65.6268629642568,85.4493009278159,20.964816440081,36.9536672616399,23.9317645336518,38.5865459032343,76.2838688479694,19.7724347386725
"APOL2",8.09077608418366,11.2084355358279,53.0931131358809,19.7439815981751,20.0425715666215,21.8108575366658,26.2204031265005,131.986126368387,43.9521041326691,127.110275478922,102.367066481703,168.649389828659,136.062599640172,156.905115193967,142.683126985234,215.616034792988,230.688549087865,159.443196706144
"APOL3",33.4930981996364,18.121954764289,24.2624846657317,28.3822165167643,21.6157636068818,21.386221802045,46.7336434506398,12.7366473701718,27.2993311719735,9.57463653213762,12.4997800188182,9.85453045783364,9.38438337781297,35.7238088219723,15.6638918664503,32.3303314993546,36.6610902283118,18.7629564635381
"APOM",2.78323873176114,3.80786219994866,16.4891305188271,7.00609016880268,2.76813335892478,2.33584456604193,2.96113680798319,40.0470366092478,142.109336859175,41.0594335905585,4.20599027418153,16.0915352029729,4.63642169625201,3.48684368314358,4.81150491705874,5.47266707313172,8.63175294564644,3.22541743719821
"APOO",35.6087556875859,53.3089907637288,32.0761808834748,50.8157063142746,37.4954553190671,21.626866253046,45.5884155779905,21.600389925585,47.8818403477824,19.1898194289265,15.3110529935192,11.8565446303933,16.1619627414545,14.4178658224037,24.2190685650181,4.72640170679427,5.0111887295397,8.74623534114993
"APOOL",135.187702350469,130.811473235921,125.989376180488,117.998751079576,123.448621085732,135.029388530853,158.873854015046,55.7434909944448,98.0259678686299,71.7173650778478,48.2213273078795,19.140940811946,28.4707628940248,27.4691301140927,55.0821008907253,29.541497358465,25.120731243421,11.1503959398505
"APP",0,0,0,5.77727783865545,2.28032434021114,0,0,0,0,0,0,0,0,2.69510847728391,4.62498656940617,3.813523361735,3.80991361480801,2.89340049941641
"APPBP2",0,0,0,0,0.795010138236527,1.26599253337193,0,0,0,0,0,0,0,0,0,0,0,0
"APPL1",166.301762023266,172.780327858476,145.698158627523,172.640055648627,146.433930213168,129.166289413277,164.629028818141,73.61193977546,111.902677569883,109.426945903056,54.1757575987597,59.7352216001539,41.6532356162682,62.0461571827941,62.9556343316987,58.5854005353447,60.3748590927367,67.5224433061404
"APPL2",0,0,0,4.50428678000412,0,0,0,0,0,0,0,4.95975357308413,4.71705435180515,5.94006693680307,6.0689942189902,6.04771381308627,4.40081223863455,0
"APRT",1929.50584089145,2702.5314442173,1219.97532570721,2535.45652817496,1579.96024060863,1919.99678856234,790.720411454015,1153.56406394204,1520.70991174444,1690.31730839748,1277.06751166049,1101.88726520846,1004.71014152208,885.701405548788,1096.90490203268,1463.55613963146,734.070508180952,592.42286231059
"APTX",33.1499267928941,3.82261662565957,41.8193117424329,22.8019527996436,21.3128234216423,16.8515336338654,29.3629717453956,17.9417277050144,30.4630647058387,16.0949838064377,9.27255795708977,18.8989119316277,38.6190023476073,9.96973258980661,11.7027395552756,14.2910431363951,10.2559462559168,11.9130612445436
"AQR",337.167820868583,266.5702247896,184.359482924135,142.346249161885,170.409902678688,229.466418606454,229.473903588341,214.01000772531,192.854669946177,224.73429195334,166.897334727006,184.31571722241,210.62428147929,199.071986422249,209.12742097239,178.841461626928,150.13982807528,132.745240886686
"ARAF",62.1274766015037,79.0708205516405,89.2380527390308,68.2572387559917,75.1847663293799,118.745623517488,87.959593132629,59.9496703293192,92.5757301099725,60.4415119461713,41.7240472728967,17.691544516666,28.1859447617989,27.6653385031749,31.1397197594495,27.8216738568968,31.3090558734211,46.0859569898484
"ARAP1",71.2059655837363,85.4401026191155,50.5710923149375,41.2822014574085,59.6866228601084,65.445380673997,41.8855176747635,41.3027788043936,49.4969050115916,53.2912675859496,18.5217371291801,28.8802275887024,31.9305858747909,58.0849905897141,54.1624994275728,55.1873900747615,62.8186016844782,67.1578550668546
"ARAP2",8.62325383910864,0,0,0,0,0,0,1.13588248189121,1.23002888708868,2.06726256902271,0,2.09565879791971,1.95249946911035,1.14527418838854,0,0,1.04326537186609,0
"ARCN1",542.688463833707,438.614613021104,595.423251373326,320.690659142745,409.206966489582,393.888479753472,762.475641653195,740.394480642731,659.445060708918,687.467054361487,773.690900083163,748.051417328158,791.358456482308,823.827472872308,737.687354922002,759.558190090823,743.308232416792,784.105987420052
"ARF1",1099.42672227564,935.865364984702,1224.71866095009,1228.77552450842,822.866670861129,670.04127296561,300.802501257318,811.463523498905,1048.4951271375,954.841690894913,1008.22911759411,882.836712805613,1114.17148269642,1236.94810343805,1188.05457775044,1136.82186896769,1240.51357703472,1182.99571247805
"ARF4",113.85073527073,63.0330886158513,57.6828132022102,53.2951497368485,57.7197966515023,51.6672273911408,94.9403836643529,102.091795355239,195.261943697753,189.47186856754,151.37127964467,283.332760032843,240.476568719308,164.671800768708,227.649876719023,173.933786066958,158.065103048855,130.074542955368
"ARF5",210.945739103335,121.198607494843,73.5530773177192,190.601765516416,132.319348908619,144.853884785065,135.23630466314,86.7001351207905,208.652792492096,151.293261675801,93.4453726090353,85.7985527819391,108.07394421614,174.351736007684,185.216864084342,135.764273713103,31.9416344239702,146.310111829172
"ARF6",283.758520302159,143.107272746603,139.160184034873,76.1493515327189,289.607337833703,261.921227956613,159.348037104087,163.135946721324,75.1249856815185,159.920349164271,128.458720850037,172.595893910986,182.546100535027,264.360807055974,192.576116057853,197.720015650236,192.212423634579,177.860801498517
"ARFGAP1",43.9641260289769,38.0855223247427,69.5140623335773,58.9751301651087,45.454931512183,35.3454022079018,55.2990771553387,57.6079597990987,35.9860992367981,37.6961169513629,26.8552784124422,52.9473243839708,42.7801648122562,42.3926911580118,34.9132426376309,42.2434579032393,37.2016572376557,42.0144197938228
"ARFGAP2",112.492402773247,92.3466266098035,75.4813045759322,80.1783923331274,81.9743191267112,122.543417338245,70.4347112986509,114.061214181199,85.1013820217678,100.893852034904,117.221593318681,132.042717558577,129.377029191354,121.606379502946,123.002067864163,104.620706618336,91.5602487155396,80.8707393646624
"ARFGAP3",42.6787266374829,28.5954425778125,23.172427549259,11.5923831904742,19.8250758392377,27.9576205315212,37.9498353902381,27.3917294337362,34.6928774783462,28.1571043899201,21.2580398989947,37.2233891455552,18.3177809174515,40.7363531602598,34.6898418223481,26.5736965923433,43.6506816955119,50.5800349013574
"ARFGEF1",186.871822294327,137.128460940255,174.953067017601,142.07499691111,181.683501278277,206.398613651909,180.183137736444,172.70954332899,123.821961621633,168.91167720198,122.860503652929,133.180401786354,128.233462401666,185.11038383963,194.756598658555,203.62883765561,180.794713839355,196.394915134871
"ARFGEF2",119.892392673027,70.5842117535617,61.6995993537337,209.424329262245,76.4439767108858,77.4172746568299,133.31254693627,87.9813249039005,102.35765288769,74.3187847927982,39.7867738080398,51.1527651592495,49.4256681743229,50.5628945522342,40.4614398666675,27.5281284287174,40.517781863063,44.9918015993563
"ARFIP1",28.624595710117,24.6455027725719,44.4522321545659,6.99962710112049,18.7271939280242,15.195138076376,28.8128468282343,18.047584055906,13.5018150131024,11.1994114883153,14.5985259770172,17.5403523139046,22.5038672095301,18.2569432364357,9.1921357411612,10.984430926378,7.1359464550179,12.6197241331427
"ARFIP2",6.18556684126084,5.57319092729325,10.077894902441,12.7899265009191,10.9851096549684,14.8390994744622,9.54171704291906,8.5743621345481,2.8843612229528,2.86491755596135,5.55683529950088,10.0338258534278,11.9242441391431,4.69601877989537,7.85392759831485,11.4498146968614,11.7011025229325,24.8868373390332
