"","[example-data] act_vs_notact","[example-data] act12h_vs_notact","[example-data] act24h_vs_notact","[example-data] act48h_vs_notact","[example-data] act72h_vs_notact","[example-data] act96h_vs_notact","[GSE157905-lenvatinib-bc] treatment:Combi_vs_CT","[GSE157905-lenvatinib-bc] treatment:Gefitinib_vs_CT","[GSE157905-lenvatinib-bc] treatment:Lenvatinib_vs_CT","[GSE88808-prostate] old_normal_vs_young_normal","[GSE88808-prostate] old_tumor_vs_old_normal","[GSE88808-prostate] old_tumor_vs_young_tumor","[GSE88808-prostate] young_tumor_vs_young_normal"
"RPS3A",1.20086971755013,0.883607355017052,1.59035538850951,1.62486205364974,1.12456092620667,1.08804397214645,NA,NA,NA,NA,NA,NA,NA
"IL11RA",NA,NA,NA,NA,NA,NA,1.2253219803962,0.493955429836585,0.059040120321055,NA,NA,NA,NA
"CKM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.301120279936506,-0.650802971587909,0.0363527551199681,-0.988276006644383
"UXT",1.02604636297564,0.759169212910924,0.936407951761183,0.686111959016164,1.5084621128459,1.12040331912049,NA,NA,NA,NA,NA,NA,NA
"FAM71E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0343920917672203,0.577696748081715,-0.174513258977935,0.717817915292429
"GALIG",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.337414194481529,-0.669370492335166,0.0322573955140048,-0.364213693367642
"KDM5C",0.209626151444984,0.150051302861766,-0.389520982993017,0.170211863718778,0.480884621758892,0.31853110632215,NA,NA,NA,NA,NA,NA,NA
"RAPGEFL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11694194672169,-0.585727376453622,0.175301930261261,-0.644087359993193
"RPSA",0.442114841174736,-0.0292415513142995,0.33034614129444,0.539973079034753,0.873854007829302,0.467347833325242,NA,NA,NA,NA,NA,NA,NA
"CNTNAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.310279351272449,0.757930804652,0.148775562112837,0.298875891266714
"ZNF615",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12819103310893,0.239711922697018,-0.451009895627737,0.562530785215825
"ARPP19",0.613237250695563,0.456599827873193,0.959541776966274,0.988624228166429,0.23837399199516,0.76728376486636,NA,NA,NA,NA,NA,NA,NA
"ST3GAL1",-2.54631586233642,-2.6822087801879,-2.6822087801879,-2.6822087801879,-2.6822087801879,-1.94945285059657,NA,NA,NA,NA,NA,NA,NA
"PAXIP1",-0.181930704067458,-0.636841247657454,0.163160699316291,-0.175128863978975,-0.125704066665367,0.156536550637098,NA,NA,NA,NA,NA,NA,NA
"OVCA2",-0.0720397186847621,-0.182914217669545,0.281963450292737,-0.392875115923674,-0.0053026681699631,0.0950635335162342,NA,NA,NA,0.00180039875632006,0.0294467051008083,0.0150755271774659,0.0161715766796625
"PCDHB11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229898158293748,0.223276235356645,-0.311864800273407,0.7650391939238
"MAN1A1",0.926355654347839,1.21792141429542,1.28049609581456,0.573144384243691,0.642063597585078,1.0541789516757,NA,NA,NA,NA,NA,NA,NA
"RNF31",-1.03317801464354,-0.560460577355694,-1.41461972962011,-1.27569557930369,-1.15530455820278,-1.04688123999235,NA,NA,NA,NA,NA,NA,NA
"GLIS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133854052297361,-0.870870292439438,-0.175878065451309,-0.561138174690769
"INSIG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.766656331160453,-0.250012005717786,-0.0364252331128707,-0.980243103765368
"KIF7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0767323543525655,-0.810566189000109,-0.0635151442603303,-0.670318690387213
"A26C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.112369887858393,-0.477482753000908,0.210525424591292,-0.800378065450593
"ZNF483",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142232456078809,-0.71971790870511,0.0320072594945241,-0.609492712120824
"PSMD11",0.858012562078716,0.326407175761695,1.11034834719041,1.00985146819062,1.03238837286226,1.05011268585729,NA,NA,NA,NA,NA,NA,NA
"GFM2",0.107290389241663,-0.0437063646186992,-0.42197905173166,0.444514024765838,0.170363376567034,0.214183226151946,NA,NA,NA,NA,NA,NA,NA
"PHEX",NA,NA,NA,NA,NA,NA,1.59921960409814,0.839064092865928,0.450167507444728,NA,NA,NA,NA
"SNAP23",0.239457281613913,-0.124132736248017,0.374655895588622,0.158614371781983,0.450315380141818,0.450747431436037,0.284147766115843,0.204501799461898,0.00374077092252663,NA,NA,NA,NA
"EDNRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230903678947696,-0.435450907964511,0.279087696647934,-0.691448236717676
"SLC37A1",NA,NA,NA,NA,NA,NA,0.359179703643613,0.352295830480619,-0.259871715913413,-0.0515104867121687,0.430171660407717,0.140322090105748,0.2383390835898
"TEX10",-0.252857015655839,-0.419610928255545,-0.379929118527896,-0.00108758287177828,-0.120150540126534,-0.37998716959613,-0.578095982105225,-0.32022827376432,-0.0168467521684563,NA,NA,NA,NA
"DLL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0959965677021772,0.513644391941549,-0.189000869255264,0.79864182889899
"SPARCL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147923292923389,-0.708628925373038,0.0421083279556935,-0.602813960405343
"APCDD1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.649056105149802,-0.700360280092262,-0.139372102199457,-1.21004428304261
"FAM110C",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133894116051242,-0.301806692402631,0.405663808391316,-0.573576384742705
"TBX5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482667225737847,-0.586458375698754,-0.0143410257623298,-0.0894501241985769
"CSNK2A2",0.319298519287853,-0.0163012807214106,0.375842225389721,0.630130625131394,0.643197108478726,-0.00961336932141688,NA,NA,NA,NA,NA,NA,NA
"CSPG4",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00553304223830657,-0.634810590052718,0.113556548337386,-0.753900180628411
"R3HDM4",-0.211417571986451,-0.123655585503988,-0.478224021782147,-0.478224021782147,-0.10359825420586,-0.0547145076615454,-0.095900441936001,-0.0681185068337283,0.103706842561569,NA,NA,NA,NA
"ANGEL2",0.147722104992936,0.66287622045462,-0.158409200796103,0.0337252969579551,-0.00808080800458351,-0.0524745162955246,NA,NA,NA,NA,NA,NA,NA
"ZNF106",0.250279906109647,-0.237626202637381,0.606854438997093,0.4724938079697,0.31874357696198,0.395254289955723,NA,NA,NA,NA,NA,NA,NA
"DACT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166172407336241,-0.61304346239851,0.143923841932925,-0.590794896995194
"MGC29506",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0714520328119912,0.819398780670925,0.077203422016171,0.670743325842763
