"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"BASP1",2152733.25,2431902.25,2297943.5,2270462.75,874384.5,4729984.5,3719611,4075503.75,2873815.25,1776563.33333333,1783783.5,1051236.5,286036,700.666666666667,7607.5,50.6666666666667,56175.5,17625,576.5,63619004,281.333333333333,6149.5,214848,194317.75,107,82.5,554.5,1153.25,255011.5,25576,58.5,103,1.75,265,570.25,349,98.25,376,22.5,177.5,889.5,576.75,552
"CYBB",159405,376886.25,209092,246989.75,24200,16504.5,4683471,129196,704759.25,2674926,3542744.25,6124842.5,4544342.5,0,8.5,459.666666666667,7404.5,13.6666666666667,105.25,10855127,131,23076.75,979966,2648440.5,263,97.5,650.75,111.25,1034.5,9046.5,387.5,139.25,321,97.75,536.5,106.25,0,74,99.25,54,214.75,73.25,1640.25
"MNDA",361823,325703.75,79581,102622.5,1388.75,649614.75,5693464.25,3176343.5,3353680.75,8841040.33333333,5497552.25,8136061.25,8863532.5,62.3333333333333,277.25,458.666666666667,85192,192.333333333333,420.5,7103670,1038.66666666667,204.5,270078.5,1380,901,304.25,627.5,417.25,690.75,70499,94.75,160.5,341.5,538.25,6120.5,26973.5,1477.25,29808.25,822.5,96.75,274.25,731.75,927.25
"GZMB",201.25,5242,1771.5,170,23.25,360,1610,23408.25,1531.5,41914.3333333333,3687.25,4518.25,11753.75,29,0,8656495.66666667,61010,10040795.3333333,719635,33492.75,187,4704.5,209330.5,378984.75,130986,15.25,265613.75,299.75,1858962.75,56472.75,394435.25,0,4038930.75,407.75,3173977.75,98214.25,2374611,378930.5,2721412,294.5,94,2.25,0
"EPX",52.75,126.75,90,26.5,76.25,2136881.25,27801021.75,39,1142.75,1433918.33333333,2626253.25,399136.25,635847.75,42.3333333333333,50.5,69,34.75,28.6666666666667,11.75,17602869.25,72,17.25,46.75,491.75,56.5,73.5,1446.5,53.5,171,109.25,109.25,12.25,30,19,264121.25,38.5,16.5,107.25,26.75,402.25,12,23,15
"NCF1",575193.75,534438,544184.25,475741.75,57754.25,2584487.25,5191097.75,407655.75,105321.5,1787802,2336872.75,2469190.5,767589.75,473.333333333333,56.75,531,1319.75,807.333333333333,68.25,3186305.5,68.3333333333333,4496.5,572196,1009230,368.25,2735.5,991.25,80.75,7351,577.5,495,63.5,457,36.75,391.25,834.25,1059.25,53,131,38.5,32.75,3054,505.25
"MPO",2354,2684.75,1039.75,885.5,175.25,196374.25,1357536.5,1784.75,212147.25,11103321.6666667,16412995.25,8782585.75,6092756.5,52.3333333333333,197.5,39.3333333333333,31631.25,138,722.75,107264883.75,228.333333333333,857,738,2668.5,1664.25,260.25,900.75,4937,940.75,14108.75,37.75,268.25,74,250.5,63,294.25,381.5,547.5,123.5,440.75,114.75,293,500.5
"MARCKS",74235.5,1045378,57858.25,423148.75,637096.25,25277.25,22725.75,1855945.5,864646.75,1994212,682581,4429343.25,1463053.25,0,6898.25,4365.66666666667,5118.25,23237,189.75,2894486,0,125.25,149980.75,4736.5,14.75,97.5,91,168.25,212227,4086,2.5,121.75,93.5,138.5,29,261.5,1902.75,86.75,28.5,53.25,734,3642.25,266.75
"FCER1G",0,0,121966.5,5448,0,1187901.25,125006,141921.5,349565.5,1303370.66666667,672777.5,3248110.5,1952683.75,0,0,431854,246270.5,1588128.33333333,497511,4922107.5,238017,46375.75,95086.75,775685,0,23838,50335.25,2957.75,67031.75,145579.5,1503.75,6306,0,0,20926.75,0,12399,104220,19530.5,232,6416,0,0
"GZMA",912.25,84.75,1059.75,205.75,153.5,7834.5,2482.25,780,1134.75,921.666666666667,1914.75,294822.5,8846.25,289,5327.25,11833610.3333333,3120491.5,13289476.3333333,4864931.75,7994.5,574.333333333333,215.5,1643.75,4479.25,31586.25,14705.75,357639.5,797921.75,1086882.25,2055158.5,3663.5,19.25,870751.25,956806.25,4127025.25,5127661.75,2937653,6025395.25,118364.75,17127.25,150933,11180.5,11071.5
"PRTN3",166.5,837.75,25.25,164.5,4.5,6216.25,2435156.75,42.75,2917,3421392.66666667,4794421.25,4899530,1167819.25,33.3333333333333,63.75,47,529,0,103.25,36788019.5,17.6666666666667,3415.75,21,820.25,39.25,269.25,16,286,2.5,3499,55,47.25,15.5,120.5,22.5,105,0,171.25,0,130.25,15,51.25,176
"CD3E",2649,0,999.5,0,0,11312,22582.25,3133,733,0,3830,0,5629.5,128858,1076304.5,236886.666666667,44176.75,52925.6666666667,18832.5,0,1423033.66666667,778971.5,0,0,715617.5,869302.5,805198.5,878027.25,805278,559513.25,730775.5,1197721.75,647853,623249.5,716304.75,746704.75,460585.75,877406,707667.25,875256.25,475470.5,810388,870100.5
"POLR3H",0,0,0,0,0,68775,248928.5,0,143354.75,0,793534.75,0,474969,0,124962,0,137198,0,90076.25,556573.75,0,118244,0,159041.75,0,127870.25,73156,101260,0,96218.25,0,99359,34941.75,111600,87816.25,155913,0,191434.75,28934.75,118473.75,53543.5,168583.5,107481
"CTSG",525.75,2549.5,25,837.5,478.5,1736568,1632797,12,4027.75,2056392.33333333,6414189.25,1429228.25,292346.5,15.3333333333333,61.75,127,189.75,398.666666666667,156.5,83840602,168.666666666667,277,18,2345.25,1300.5,63.75,645,333.75,91.25,5977,85.5,53.75,45.5,96.75,30.25,1003,149.25,467.25,80.25,106.75,126,43.25,33
"PYGL",76,26.25,132.25,11,36.75,994105.25,2520397.25,153569.25,228245,652694.333333333,784416.5,1292940.75,585215.75,19,107.5,157,143,67.6666666666667,54.5,7395062.75,78,54,3392.25,12877.5,86.25,56.25,145,31.25,92,106.5,82.75,82.75,31.75,62.25,60,133,17,138.75,44.25,187.75,27,85.75,151
"HK3",28.5,13,48.5,0,52,1578412.75,1046218,5820.75,973.5,1633413,1310925.75,2121765.25,1877844.25,3,82.5,21,90.5,200.666666666667,13,1663739.25,14.6666666666667,7.25,29.5,34.75,13.75,3.5,10.75,15,246.75,268.5,2.5,8.25,35.25,12.75,15.5,5.5,31.25,18.25,38.75,8,9.25,28,18.25
"CCL3",6200.75,170,0,0,0,1248.5,939.25,532099.75,675.5,652761,17606.5,43197.25,15500,0,142.5,136596,0,9228003.33333333,0,5060,1418.66666666667,610.75,68971.5,0,66293.5,0,584166.25,0,1816301.75,0,0,109,48382.75,0,190252.5,0,287403.75,0,0,293.25,383.75,0,0
"AIF1",222,0,101,0,0,37256,39636,749951.75,2873237.25,1236789,5052804.5,15855336.25,12471402,598.333333333333,78.75,25769.3333333333,15532.75,23953.6666666667,0,5415673.25,223060,562.75,24746.5,68072.5,5502,58.25,33016.25,89,231,12706.75,24190.25,6505,29519.5,78.25,38076.25,5015.5,23591,5751.5,12138.75,9207,72.5,11117.75,11799.75
"P4HA2",0,121895.25,0,45620.5,0,220760.25,360050,0,327607.5,0,187373.25,1304062.75,767482.75,0,351559.25,1937541.33333333,54332,737934,442059.5,0,0,259631.25,0,102132.5,246977.5,338137.75,553330,279410.25,76784.5,224302.25,85253.25,104804.5,151962.75,201955.75,397445,0,447179,212359.5,693941.75,29028.25,217592.25,602592.5,291668.25
"TMEM63B",0,34247.5,0,230398,10100.75,364220.5,928605,402.75,64307,4681.33333333333,3101397.25,2574960.75,2312759.25,0,8370.75,46.3333333333333,45614.5,1054,6491.5,22103972.5,0,1693,681.25,134651.25,0,0,0,8080,75.25,51052.5,222,3244,11.75,19444.5,12.25,9318,584.5,3132.25,18.25,7855.5,3981,1876.25,479.25
"S100A8",44289.5,209689.75,34770.5,2034,3447.75,1816548.25,30705201.5,4145357.75,2019131,90132908.6666667,104491434,112938540.25,53040790.75,8473.33333333333,37261,607.333333333333,360393.5,7004,63483,530123894.75,8437.33333333333,72251.75,6627,106360.25,5192.5,2746.75,6817,128492.5,18806.25,643696.25,3727,11735.75,6725.25,39525.5,46517.25,62187.75,10030,59286.5,3957,10738,72443.75,22082.5,59820.25
"TCL1A",3235192,2863678.25,6594372.75,3564500.25,152935,8975.5,71.75,63853.75,28914.25,698.333333333333,123.25,3648.5,1022,0,540.5,0,1534.25,0,1517.5,2349.75,748.666666666667,10243.5,915917.25,3991114,636.5,241.75,420.5,11.75,4258.5,3926,152.25,341.5,0,202.25,0,300.25,106.75,0,0,296,1583.75,348.75,400
"PRF1",68,84,149.75,92.75,71.25,33578,1016.5,143.5,289.75,118.333333333333,49.25,423000.75,16208,490.333333333333,101.25,1501280.33333333,891408.5,2497987,5098544.75,5591.5,1444,166.75,1250,2450,1032.25,188,1657,73745.25,30778.5,1177555.25,379.75,189,20523.75,75819.75,216491,1216799.75,405097,3536221.75,6614.25,1125,4366.5,218.75,1218.75
"CDA",0,0,0,0,0,383633.5,987593.25,0,0,1449221,638990,1033292.75,446108.5,0,0,0,0,0,1629.25,3401172.25,0,213.25,0,787.75,2696.75,2784,1699,0,0,0,1232.25,0,0,0,0,0,0,0,0,0,0,0,0
"ELANE",279.5,5745,1338.25,1905.5,22.75,13496.25,3765637.25,444.5,3504,3810575.33333333,6417481,6537256.5,1239903,70.6666666666667,227,112.333333333333,1349,71.6666666666667,91.75,29966865,469,357,813.75,6794.75,456,877,146.75,541.25,265,7241,295.25,267.25,395.75,259,397,203.5,144.5,1101.25,288.75,891.75,238,4942.75,243.25
"KYNU",509069.25,174084.75,610155.25,48415,3677.5,891,229.25,2497577.75,335724,1870429,156631.75,582478.75,606256.75,78.3333333333333,177.5,19,552.75,136,175.75,4104.5,107.333333333333,2162.25,488995.75,418615.5,68.5,246.25,33,263.75,8874,1289.25,41.5,380.25,105,482.25,18.25,296.25,52.25,313.25,18.75,286,893.5,179.5,355
"ANPEP",240.75,279,75.5,194.25,61.75,404279.75,381357.5,159586.25,39705.25,1305280.33333333,641340.75,783757.75,620360.25,44,51,315,60,53.6666666666667,18.75,2033867.25,86.6666666666667,14,25.75,29.75,200.5,61.75,2126.75,16.25,54.5,55.25,79.25,34,19.75,27.5,84.25,41.5,41.25,9.5,29.75,32.25,89,26.25,39.5
"S100P",356.25,0,0,0,48847.5,4332882,5619245,16537.5,31706.75,772881.666666667,493016.75,240818,34558.25,0,380.5,574,552.5,0,424.25,50386708,6215,3719,0,523.25,143.75,172.75,6649.25,494,904.5,1963,2105.25,1548.75,0,301.5,341.25,23345.75,260.75,2003,0,11449.75,356.75,117.75,1075
"SERPINB10",10.75,31.5,24.5,40.5,303.25,726.75,1500815.5,193.25,387,1113466.33333333,2653142.25,3871822.5,1320900.75,979.333333333333,2,0,45.75,187.333333333333,71.5,2675492,0,11,295.25,917.75,0,34.5,108,118.5,402.5,27.25,160.25,57.25,417,26.25,37.25,39.5,10.75,20.5,35.75,89.75,29.25,49.25,84
"TK1",111257.25,0,373008.25,210,576.75,168,2252.75,0,3583.75,3726.66666666667,7435.75,4038.25,661.75,2261.33333333333,292.25,324841,444.75,176367.333333333,300.5,0,789025.666666667,3981.25,2065.5,2477.5,792342.75,0,747236.25,0,593444.5,10497.75,431690.75,0,442948.75,203,351302.75,0,67932.25,0,381230.25,4162.5,165.25,0,0
"CSTA",3340,7938.5,7826.5,6867.25,152259.25,57687.25,832046.75,3666117.5,1748738.5,10150421,9865241.25,15397620.5,3924832.5,15548.3333333333,41,1444.66666666667,54783.5,278,1543,33221450.75,182.333333333333,11987,17336.75,69333.75,523.25,1182.5,5042.5,1172.5,10375.25,53330.25,3327.25,642.25,6418.25,613.25,1546.75,9821.75,8660.5,64417,1079.25,2807,154619.5,1771.75,397.5
"BTK",846655.25,476338,1091151,430682.25,100981.5,1468118,369312.25,124909.75,408175.75,133935.666666667,244484.75,502865.75,383366.25,28,58.5,319.333333333333,1063.75,813,441.25,52313,595,1665.5,182102,439703,415.75,491,386,959.25,3827.25,2536.5,99.75,377,256.25,296.75,103.5,185,75,271,106.5,392.25,426.5,849.5,374
"MGST1",0,0,4048.5,0,0,115456.5,20307.25,96824.25,222740.25,608159.333333333,456961.75,1021508,630544,0,0,0,1484.75,0,3705.25,674423.75,0,863,39626.5,72122.75,0,0,0,0,0,2076,777,818.75,0,0,0,1467,0,0,0,0,0,1597,15710.25
"SYK",987717.25,557709,732131.75,209722,74833.5,33270,620361.5,692163.5,1083876.5,748747,841377.5,1394567.25,585815.5,532.666666666667,1044.25,58722.6666666667,129870,21696,88577.75,863398,187.333333333333,14336.5,696847.25,835519,770.75,507.5,747.5,481.75,777.75,25575,540.75,360.75,309,396.5,428.5,210.75,266.25,2028,345.75,845,92,580.5,2323
"ALOX5",201759.5,601110.5,105814.75,323949,543.75,2080344.5,270995.5,83871.25,252809.75,400696.333333333,428354,1077727.25,982705,20,595.25,339.333333333333,921.75,266.666666666667,268.25,1578802.25,282,453.25,490.25,309,711,703.75,489.5,317,977,546.5,212.5,80,238.25,359.5,321.75,117,991.5,393.75,290.25,166,350.5,749.75,96.5
"LYZ",14009.5,63392.5,26.5,6174.25,11488.25,1737893.25,6486027.75,114769.25,1945887.5,27631070,24369154.25,18661070.5,5128689.75,4246.33333333333,30602,60.3333333333333,154221.75,341.666666666667,53561.25,30720761.5,2419.66666666667,58752.75,7939.5,33576.75,1180.25,8415.5,636.25,32286.75,1105.25,260921.25,1597,2254.75,2428.5,31355.5,4840.25,54327,10811.5,69357.25,1739,13989.75,13491,10446,30237.5
"KIAA0101",107273.5,0,246539,0,6190,0,0,1435.25,14521.75,0,0,6345.75,0,0,5075.25,181306.333333333,6303.75,182714,6030,0,335986,5808.75,0,29128.5,180115.25,0,295257,0,276447.75,0,128148.25,0,111617.25,5194.5,173137,0,183908.25,4257.75,136643.25,968,0,0,0
"RNASE2",339.25,7,0,0,867.75,2686731.75,21139651.75,0,6716.25,396181,573988.75,344440,51438.25,0,68,111.333333333333,0,0,95,196487,918,18.25,0,1804.75,1107.75,0,611.75,0,950,256.75,0,41.25,7.5,0,31360.75,262.5,765.75,344,0,0,0,0,526
"NCF2",445750.25,34007.5,985869.75,1624.75,11030.5,347170.25,3694907.25,403899.25,441049.25,2305294.66666667,2413251,4012732.5,1689063.75,385,1833.5,195.333333333333,2322,421.333333333333,266.25,9332727.5,9667,464.75,134611.5,53888.75,709.5,1304.75,213,3200.5,3503.5,2308.5,3817,769,2627.75,588,4671.75,3271.25,474,167.75,4977.75,3776.5,431.25,323.75,1558.5
"MP68",511485,1638.75,161843.5,0,0,0,0,125192.25,0,1482293.66666667,0,0,0,122681.333333333,0,0,0,0,0,0,54051.6666666667,0,610326.25,0,218976.5,0,12594,0,37329.5,0,0,0,33644.75,0,538,0,0,0,868.25,0,0,0,0
"CKS2",128173.25,0,227186.5,0,0,12495.5,0,0,4667.75,0,16247.75,10561,0,0,1590.5,76765,0,75792,0,0,250947.666666667,0,0,6885.75,198374.25,0,284513.5,0,222994,23326.75,81685.5,0,71891.75,0,69663,0,30919.25,21519.5,69300.75,0,9160.5,0,0
"S100A9",169314.25,241370,33673.75,22710.25,24037.75,2351566,43127242.5,7940211.75,2460636.25,160168507,101250415.75,139455979.75,65239732.75,61287.3333333333,52420.25,4152.33333333333,418210,7938.66666666667,69813.75,531053267,4192,102103,46803.25,118309,12677.25,10174.25,18273,253199.75,74899.25,850674.5,14325.75,14902,3078.5,62010,71394.25,63440,18328.5,67981.5,1916.75,46853.25,88617,17045.75,133653.25
"AZU1",0,56.25,168.75,30.5,12.25,4014.25,1829484.75,3359.25,251.75,549594.333333333,2543155.75,1004798.75,51184.25,246,147.5,69.3333333333333,90,73,45.75,34260624.75,163.666666666667,64.5,124.25,294.75,109.25,162.25,123.25,501.75,44.5,180.75,26.75,8.25,10.25,661.25,0,154.75,8,169.5,0,321.25,28.25,71.25,156.25
"PADI4",75,52.25,33.75,52.75,32.75,363968,1892294.5,77,23.5,347620.333333333,1208928,488145.5,50791.25,35,23.25,25.3333333333333,101.25,38,49.75,5421601.5,3.33333333333333,63,88.25,40,176.25,18,165,8.25,902.5,29,25.5,46.75,105.5,24,30,33.5,0,10,41,9.25,18,28.5,83.75
"CDK1",276314.75,1036,612403.25,1000.5,33721,288.75,2279.25,11347,171247.75,430,1390.5,1491.5,2616.75,2837,4080.75,509387.666666667,2788.25,352885,335.75,12086.75,1157429,50094,1023.25,9325,1300417.5,0,1544342,642.5,1324815.5,23864,639011.25,731,718135.75,194.75,643822.25,69.75,278298,573,561879.25,414.75,33,289.75,333.25
"SETD8",178312.5,0,142657,0,0,0,0,102443,43311.25,102338,3724.5,0,37803.75,41068.3333333333,0,120829.666666667,0,0,0,0,242932.666666667,0,16824.25,29304.5,129720.75,0,162513.5,16424.75,126086.75,0,68789.25,24056.25,140220.5,4366,166181.25,18839.25,21288.75,32773,233280.5,0,0,4670.5,5538.5
"PADI2",47,25.75,79.5,47.5,10.25,202063.25,1273682,37097.5,90860.5,257138.333333333,428382.5,700172.25,162268.5,0,66.25,0,85.75,7.66666666666667,104.5,1497195,27.3333333333333,20,5.75,131.5,58.5,184,341.75,73,122.75,12.5,4.5,98.5,0,109,36,88.75,0,77.5,0,119.5,39.75,253.25,247.75
"SULT1A4",87.5,1362,136.5,121,1271.25,41362.25,28037,135220.5,260408.5,1283716.66666667,2533935.25,5353499.5,2806199.25,0,189.75,3341.33333333333,1525.5,18724.3333333333,357.5,422950.5,735.333333333333,128.75,274.25,910.25,129.25,472.75,0,1298.5,9.75,2763.75,44.25,79.25,131.5,126,370.75,115.25,48.5,145.75,46,86.75,381,4719,4676.5
"CD3D",7538,47381.25,35547.25,3552.25,0,388.75,6867.75,9929.25,0,0,41257.75,22188.75,1155.25,260422.333333333,392800.5,3374,0,1398.66666666667,0,45252.25,912122.333333333,343230.25,0,0,310871.5,263198.75,341811.5,354130,292425.25,232970.25,282320.25,401430.5,448913.25,240256.5,314599.5,439407,184256.75,563892.75,384357,210028.25,327547.75,290699.5,407894.75
"UBE2C",54743,1182.75,177206.75,15103.75,0,8771.5,280.5,736.5,422.75,17620,731.75,681.75,2101.25,3424,0,249137,0,192124,0,35558,396669,0,4094.25,2814.5,454178.5,0,325219.5,142.75,301459,0,199948,0,241488.25,3305.75,239609.25,1212.75,141298.5,0,337243.5,85.75,868.25,0,0
"PF4V1",1081959.5,0,1963959.5,0,29800.25,24546.25,15140.25,2781040.75,16493,2491779.66666667,5862.75,47508.75,137979.5,0,36771.5,168876.333333333,0,0,311.25,26329.25,903857,48659.25,403782,24362.5,230954.75,38672.25,768471.75,43359.75,331191,44538.75,115839,148512,79692,133349.5,60967.25,40065.75,0,8380,0,0,4391.5,234740,71620.25
"LPCAT2",276.5,255,519.25,83.75,180.25,1125902.75,1519156.75,156465,349449,236469.333333333,559046.75,720107.25,1051253.5,715,333,113.666666666667,950.75,92,99.75,481832,225.333333333333,433.5,315,3057.5,328,117.5,110.75,81.5,525.5,1611.25,415.75,33.25,51.25,115,51.75,124,372.75,203,321.25,62.25,292,54.75,87.5
"ITGAX",3151,117,887.75,21.5,98,28409.5,84903.25,343567.25,788244.25,208173.333333333,535659.25,1049240.25,1714033.75,0,77.75,118290,490488.25,8473.66666666667,144086,139010,228.333333333333,120.5,395,592.5,608.5,73.25,1357.75,80.25,478.25,4731.5,490.25,80.25,6475.5,92.75,1359,685.25,475.75,16007.25,467.5,86.5,122.5,68.5,107.75
"KCTD12",8176,5045.75,13692.5,373.25,756.25,11821.25,205750,2611053.75,3154445.25,2781662.66666667,4071223,4640685.5,2173357.75,87.6666666666667,196,448.333333333333,25024,1232,51.75,968260.5,6855,9062.5,558871,1059566.5,3158,1046.25,4111,5301,1516,26421.25,7942.75,7050.5,5010.25,3076,187.5,1009,392.5,165.5,12104,12184.75,840.25,1711.5,10414.5
"IRF4",452224.25,39555.25,248128.75,32708,444297.25,155.5,344.25,293114.75,190998.75,1145.33333333333,643.25,3924.5,23323.25,28378.6666666667,6959,1767.66666666667,425.5,63664.6666666667,205.5,12710.25,605376.666666667,4070.75,287973.25,174984.75,1061328.5,134.75,2239793.25,1618.75,782120.75,850.25,441168.75,440,1185730.25,227.5,693862.25,1324.5,315830.25,33.25,366409.5,229.25,635.75,596,1956.25
"CD8A",0,45.25,96.25,185.5,726.25,163,148.5,371.25,59.75,0,436.75,1055.5,356.25,216,156.25,22270,26522.25,6948.66666666667,49109,203,1480.66666666667,77.5,283.5,80.75,248,295,103,484,82.75,1420.75,294,183.75,357319,725739.5,464236.5,786539.75,475178.5,1069294,716363.25,690303,802.5,289.5,466.75
"PRG2",149.75,13244.75,58,5621.25,326.25,18468145,70171264,782.5,11304,99.6666666666667,9319.75,28529.5,120754.25,199.333333333333,143,12.3333333333333,25.25,179.666666666667,716.75,4500.75,43.3333333333333,51,196,11902.75,157.25,572.75,10.75,10681.5,287,17.75,41.5,253.25,81.25,567.5,621974.25,143.25,77.5,12,76,963,1441,17,2005.5
"DEFA3",3141.75,859652.25,2229.25,412985.5,75937.25,1095727.75,49145218.5,9990.75,1530723.75,405847,1307751.75,2570315.5,936829.75,123060.333333333,38209.5,183.333333333333,22105.25,42839.6666666667,61280.5,310752447.75,92.6666666666667,179912.75,8742.5,886539.75,1355.5,6540.5,1281.25,9096.25,87.75,475106.5,19432.25,11779.25,535.5,13177.25,42665,4123.25,95584,19237.75,11714.75,7677.25,37910.5,5860,36450.75
"ITGAM",2615.75,23989.5,1263.25,499.5,155.25,799211.5,2074226,36438,130231.25,718092,2244876.25,2401090.5,1000634.25,326,2081,161689.333333333,1204513,81267.3333333333,877110.75,10944590,35541.3333333333,168.75,1153.75,10199,592.75,313.75,3552.25,26108.75,5274.25,119056.5,2759.5,166.75,4585.5,16320.25,8689,156952.5,7388.5,382502,734.75,205.75,3834,1280,927.25
"RNASE3",149.5,53.25,406.25,3.25,218,1064340.5,39926562.5,2912.25,342.25,25669.6666666667,404399.75,26740.75,36620,0,29.75,4818.33333333333,0,82.6666666666667,13.5,341196,127,6.75,493.5,86.5,102,0,124.75,171.5,53.25,41.25,5,47.75,0,118.25,100256.25,46.25,0,0,1247.25,155.25,8.75,132.25,24.25
"CST7",3267.75,6967.25,0,0,0,181728.25,17558.25,49914.5,38509.75,0,0,25637,12749.5,0,5044.25,156396.666666667,127378,411617,214843.25,0,0,0,14783.5,0,30406.5,0,62463,25768.5,65208.5,57401,8560.25,0,100920.5,66760.25,182938,200589,135823.25,233876.5,0,1643,11311.5,0,1316.75
"CD4",153,316.25,850,99.75,157.5,76.25,106.25,657.5,55988,1405.66666666667,19328,37035,60075.75,48816.6666666667,342695.25,0,0,705,220.25,6284,336020.333333333,342274.5,1321.75,123798.25,292817.5,297931.5,285604.75,428018,194814.75,225648,182303.5,329053.75,2151.75,1751.5,2519.25,1791,596,1194,178,0,225045.25,399753.75,338940
"PBK",26511,80.75,77483.5,130.5,4041,101.25,635.75,1373.75,261.25,0,2725.25,2934.5,668.75,150,439.25,96177.6666666667,592.25,111770.666666667,328,582864.75,209675,0,0,0,365301.5,2633.25,397284.25,244.75,335650.5,0,107135.5,0,169226.5,228.25,139760.5,408,57193.25,62.25,106911.25,0,568.75,0,0
"GNLY",83.25,313.75,1465,2.75,459,99.25,4825.5,13.75,0,3327.66666666667,20068.5,4150.5,18954.5,0,0,6265401.66666667,636817.25,2182085,337124.25,0,67.3333333333333,0,105.25,1328.75,212,0,527,107.5,1537.5,22975.75,220,328.75,5352.75,1184.25,46156.5,88821.25,79500.5,193819,511,0,961.75,0,0
"TYMS",26658.75,0,154172.25,0,2591.25,113,8448.25,700.5,193.75,287.666666666667,448.25,122.25,228.5,1745,196,126741,265,155999.333333333,387,1988,345027.666666667,292.25,7919.75,263,626368.5,0,578884,184.25,387244.5,121.75,91960.25,0,151012.5,4244.75,151171.5,0,139071.75,0,154858.75,17218.25,598.25,0,0
"CES1",684.25,1938.25,534.5,2806,58.25,11025.5,1594.75,1205892.25,1101694.5,6781380.33333333,5123527.5,4467174,2876269.5,107.333333333333,3007,1231.66666666667,19029.5,58,236.5,1571,212,3879.75,345.5,497.25,157.75,225.25,489,239,198.25,3260.25,736.5,3213.75,123.25,1875.75,77,832,259,4444.75,1025.25,4803,3744,907.25,2703.25
"TOP2A",51820.25,70.25,160297.75,35.25,460,161.25,71.75,269.5,817.25,489.333333333333,68.5,128,60.5,98.3333333333333,326.5,159853,191.5,185822.666666667,142.75,11681.75,201789.333333333,55.75,219.25,401,402171.25,2026.25,354987,155.75,407878.75,528.75,242780.75,1063.25,308519.75,1290,275930.75,133.25,156995.5,2217.75,242256,109.25,26.75,2080.25,1118.25
"GZMH",488.5,969.5,949.75,533,146.75,2176.5,842.75,467.25,205.5,3337.66666666667,8187.25,34184,1969.75,0,593,375571.666666667,193444,336510.333333333,2312669.25,3713.5,3418.33333333333,3415.5,18660.75,57888.75,19549.75,1656.5,35611.75,302214.75,118872.75,1580673,5993.5,0,154872.25,51541.5,486105.25,2250434.75,801482.25,5987820.5,116639.75,1817.75,32919.75,53.25,2047.75
"UBE2S",31768.75,0,49830.25,0,0,0,1086.5,5685.75,6229,4653,0,0,0,0,0,73312,162.5,67008.3333333333,468,44870.25,256098.333333333,0,11848.75,844,206132.25,98.25,311725,4318.75,291286.5,0,62242.75,0,127564,283.75,106421.5,0,53665.5,335.5,77852.25,458.5,0,8408,62.75
"SPI1",6914,26914.5,12442.75,13476.25,145.5,58397.75,92324,15862,215871,52159.3333333333,217319.25,481267,735858.5,0,0,0,4611.5,0,312.5,305010.25,0,99.5,1392.25,18564,1409.5,0,0,0,0,388,0,266.5,0,0,190,0,0,966.5,35.25,0,0,0,52.25
"GINS4",93961.5,258.75,210682,0,0,1107.75,460.5,12503.75,27715,3583,5729.5,3680.25,0,0,2535,63726.6666666667,961.75,50143.6666666667,481,0,134776.666666667,0,1546,1684.25,266722.5,0,225144.5,0,143571,0,125822.5,0,87072,0,77208.5,0,39561.75,0,60501.75,203,0,0,0
"S100A12",494.5,352.75,25.25,151.75,533.25,266.75,1042709.25,41.5,787,2975236.33333333,776175.75,1559028.25,46705.75,12.6666666666667,43.75,703.666666666667,403.25,0,311.75,6807198,4.66666666666667,32,717.5,470.75,178.75,51.25,595,1232.75,268.5,139.25,474.5,437,606.25,22,471.75,306.75,138.25,121.5,0,136,104,824.5,537.5
"WDFY4",245778,155094,291982.75,79948,247,355.75,74.5,116035.5,204651.75,12767.3333333333,60828.75,101893.75,63323.5,21.3333333333333,28.5,74.3333333333333,703,100.333333333333,21,12065,112.666666666667,3307.75,237114.5,413646.75,104,103.25,127.75,60.5,443.25,852.5,104,46.25,94.25,282.25,24.5,31.5,60,41.25,92.75,81.5,45.25,49.5,41.25
"RBP7",5872,3100.25,0,8008.5,0,0,0,0,5845.5,325240,423437.75,666670.25,244899.25,0,18041.5,0,0,0,0,952533,0,2109.75,0,0,0,7797.75,0,3144,0,5965.25,0,0,0,0,8311.25,0,0,0,0,5752.5,0,0,0
"SULT1A1",0,246,0,25,0,56746.75,4610.25,11800,28286,368616.666666667,1286711.25,2926639.75,1276754.5,0,210.5,0,1752.75,0,232.25,90210.25,227.666666666667,263.5,52,218.75,0,143.5,0,397.5,0,1008.5,0,295.5,11.75,33.25,0,0,0,23,42.75,117,59.5,172.5,1519.25
