"","B_CELL_NAIVE","CD4_NAIVE","CD4_STIM","CD8_NAIVE","CD8_STIM","M2","MONOCYTES","NK","TFH","TH1","TH17","TH2","THSTAR","TREG_MEM","TREG_NAIVE"
"METTL7A",208.74625849405,3.56261416895252,0.718102453346598,16.2839706411667,1.96095417301198,431.057514753838,225.185845675915,137.827714368962,2.35561267922725,1.79991684413184,2.50316767001337,5.05126765625365,1.11209690253238,97.4508353664058,36.9797330223163
"NKG7",1.81748189908304,6.71775305461824,2.40189919426475,43.7996378972023,26.3790581086554,48.8826668263569,15.1164187659042,6847.06426279857,49.0338570323579,421.037336587557,3.74894401507505,7.0827888483026,66.2183914810346,13.2649506553094,13.5831550595679
"SPOCK2",125.31792816929,621.161531429301,252.245103885726,851.198740470683,317.522320457971,1.26674336513429,1.14541831075912,506.397976975686,1431.52427862717,1045.71852322469,1162.76324556825,996.613318989067,950.515909391788,1485.11300893289,886.782657857971
"AIF1",1.12051078160869,62.7729779783699,8.08846709192412,85.1052999906337,15.3388044050534,1786.47746504896,859.99741175583,5.95317145218642,17.3958190276022,9.13951447960232,5.38247628054182,8.8870023862177,5.19552183352782,4.93418075716327,28.8944477298511
"CLEC7A",0.161927110779698,0.979671310502911,0.0936127164996049,0.775130573955904,0.0840185630265108,371.658622364438,354.543609913085,1.10799055299377,0.786526550452634,0.034021114448274,0.101177976847371,0.0949408382526625,0.0386119050139865,1.02539601588427,0.947110751842635
"HHEX",299.721160237047,1.15535900288527,0.154989414702623,0.9884032363319,0.223171073277673,180.511730504314,69.9594616514849,29.7171351469344,0.561832192930521,1.91997754716515,0.76191620968106,0.528337735195561,1.2906225230683,0.652154158026362,0.529268163529287
"RAB31",29.8178966336749,1.16079480704039,0.328349201761367,0.946745210298663,0.374866237405096,333.47862367739,295.167602425991,4.73667769312729,0.707766073822479,0.0804346315374625,0.225535511022089,0.141970025906243,0.0612929138979288,2.7756463624978,0.938185629814786
"HLA-DRB5",495.175083388831,3.9178135718215,2.05692563878387,4.79981770404418,2.30922373758989,458.175705913359,629.215629746577,19.6701419135832,9.16562637922654,8.25302878186092,10.3875942132634,10.785774447403,1.26785252635019,102.405596578314,4.42971338602663
"CHST15",40.4416045476189,1.43031087343944,3.44130365750132,0.631605510646497,0.566820939612136,448.689553597152,174.227783197236,1.47493454846333,0.880338964952979,0.305502609026286,0.251022365681249,0.232166133210884,0.245737221222108,1.0712885756482,0.891827301262754
"MNDA",7.40130500031906,1.70577285118129,0.0528638680689755,1.25849650090594,0.0890419151270853,190.67354166113,624.310466503962,1.00490521308347,0.994115544624933,0.0655520073333125,0.0521076682682394,0.148985371070144,0.0870155761194183,1.19704089109507,1.28489509823022
"CD96",59.3924708384445,427.379992327854,381.977799009176,539.971456214846,537.587373719461,1.60463567811206,0.466349989465761,449.599173938867,394.152791361173,481.768878256817,474.419242547365,432.035665431452,632.97625679126,259.801540376462,305.701693981981
"HPCAL4",0.0564506811181226,125.399600632511,175.965456567575,108.215936255987,209.046248963391,0.209902967725962,0.542207108176189,3.26680966309567,252.57998046225,132.842031175493,179.891928548122,128.922130160332,127.09260171233,122.957409817421,300.38541548626
"PKIA",227.548101891953,522.161148914476,3568.8546723852,383.838773982173,3282.50474279841,11.4756520905251,1.66327905684293,13.9843017924976,270.782500823865,176.415020098908,520.464380886625,582.720253473712,276.28109252817,560.968206723,400.287631751
"CCR4",0.0153063290776368,2.67729822835738,174.187180115783,0.289699391536643,6.49944562607471,0.0269073081766686,0.03380452536215,0.0460710481352114,53.7144937853212,2.75547374735455,131.280637747038,173.070170772899,1.96959103218015,172.599583664047,8.72294639043163
